max_value,typical_mountain_valley_number
1,1
2,1
3,0.666666666666667
4,1
5,0.8
6,0.666666666666667
7,0.571428571428571
8,0.75
9,0.777777777777778
10,0.8
11,0.818181818181818
12,0.833333333333333
13,1
14,1
15,0.866666666666667
16,0.75
17,0.764705882352941
18,0.777777777777778
19,0.789473684210526
20,0.8
21,0.761904761904762
22,0.772727272727273
23,0.782608695652174
24,0.791666666666667
25,0.8
26,0.884615384615385
27,0.925925925925926
28,0.892857142857143
29,0.862068965517241
30,0.833333333333333
31,0.870967741935484
32,0.875
33,0.848484848484848
34,0.823529411764706
35,0.857142857142857
36,0.888888888888889
37,0.918918918918919
38,0.947368421052632
39,0.974358974358974
40,1.05
41,1.07317073170732
42,1.04761904761905
43,1.02325581395349
44,1.04545454545455
45,1.02222222222222
46,1
47,0.978723404255319
48,0.9375
49,0.918367346938776
50,0.9
51,0.882352941176471
52,0.865384615384615
53,0.886792452830189
54,0.907407407407407
55,0.890909090909091
56,0.875
57,0.859649122807018
58,0.879310344827586
59,0.88135593220339
60,0.866666666666667
61,0.852459016393443
62,0.870967741935484
63,0.873015873015873
64,0.875
65,0.876923076923077
66,0.863636363636364
67,0.880597014925373
68,0.867647058823529
69,0.855072463768116
70,0.842857142857143
71,0.859154929577465
72,0.875
73,0.89041095890411
74,0.905405405405405
75,0.906666666666667
76,0.921052631578947
77,0.935064935064935
78,0.948717948717949
79,0.962025316455696
80,1
81,1.02469135802469
82,1.02439024390244
83,1.02409638554217
84,1
85,1
86,0.988372093023256
87,0.96551724137931
88,0.943181818181818
89,0.943820224719101
90,0.944444444444444
91,0.945054945054945
92,0.945652173913043
93,0.946236559139785
94,0.968085106382979
95,0.968421052631579
96,0.958333333333333
97,0.948453608247423
98,0.959183673469388
99,0.95959595959596
100,0.96
